Ano,Precipitacao_total_mm,Temp_media_C,Umidade_media
2020,424.4,24.223144353369765,64.52071948998179
2021,0.0,22.421670739156994,67.10293219303604
2022,833.0,23.03143496642626,66.38075105695101
2023,1520.4,24.412659817351596,66.53675799086759
2024,1076.8,24.974176895721005,61.854422393025125
