,Ano,Mes,NDVI_medio,Precipitacao_total_mm,Temp_media_C,Umidade_media
Ano,1.0,2.4633520734332607e-14,0.04700725003311943,0.4973586694635158,0.18901189603920607,-0.0818931922078729
Mes,2.4633520734332607e-14,1.0,-0.488200967980361,-0.2111757287996828,0.12785189387607593,-0.48753727271264097
NDVI_medio,0.04700725003311943,-0.488200967980361,1.0,0.4153817944194562,0.39112498842871013,0.6849431637619114
Precipitacao_total_mm,0.4973586694635158,-0.2111757287996828,0.4153817944194562,1.0,0.281154262528886,0.33843803499739966
Temp_media_C,0.18901189603920607,0.12785189387607593,0.39112498842871013,0.281154262528886,1.0,0.1098188748910037
Umidade_media,-0.0818931922078729,-0.48753727271264097,0.6849431637619114,0.33843803499739966,0.1098188748910037,1.0
