Modelo,R2_treino,R2_LOO_medio,RMSE
LinearRegression,0.5836630362999913,,0.044858139932951575
Ridge,0.5836625481660273,,0.0448581662298903
Lasso,0.580389652696535,,0.04503413968693406
RandomForest,0.9164797089568719,,0.020091611671706876
