Ano,Savitzky-Golay
2000,0.57904
2001,0.6212043478260869
2002,0.5991347826086957
2003,0.6252608695652174
2004,0.5811217391304347
2005,0.595895652173913
2006,0.5396130434782609
2007,0.5288869565217391
2008,0.5481217391304348
2009,0.5996304347826087
2010,0.5285826086956521
2011,0.5723347826086956
2012,0.552495652173913
2013,0.5706913043478261
2014,0.5554
2015,0.5369304347826087
2016,0.5207347826086957
2017,0.538586956521739
2018,0.5502739130434783
2019,0.5594826086956521
2020,0.574608695652174
2021,0.5443173913043478
2022,0.5796913043478261
2023,0.5894956521739131
2024,0.5640913043478261
2025,0.6438333333333334
