Modelo,R2_treino,R2_LOO_medio,RMSE
LinearRegression,1.0,,1.1434758197722535e-14
Ridge,0.7276397398349194,,0.5682302563588799
Lasso,0.7719290051693187,,0.5199810456464777
RandomForest,0.837260453534403,,0.43923711993063835
