Ano,Área Plantada (ha),Área Colhida (ha),Produção (ton),Produtividade (ton/ha),Savitzky-Golay,Precipitacao_total_mm,Temp_media_C,Umidade_media
2020,200000,200000,1097000,5.485,0.574608695652174,424.4,24.223144353369765,64.52071948998179
2021,200800,200800,564320,2.810358565737052,0.5443173913043478,0.0,22.421670739156998,67.10293219303604
2022,210800,210800,1050120,4.981593927893738,0.5796913043478261,833.0,23.03143496642626,66.38075105695101
2023,200800,200800,1082880,5.392828685258964,0.5894956521739131,1520.4,24.4126598173516,66.53675799086759
